keyword_term,term_type,primary_group,category,source,frequency,patstat_tier,validation_notes,usage_recommendation
anonymisation,primary,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Strong privacy signal,Use for privacy anonymization analysis
anonymization,alternative,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Strong privacy signal,Use for privacy anonymization analysis
anonymous data,alternative,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Strong privacy signal,Use for privacy anonymization analysis
differential privacy,primary,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
Îµ-differential,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
noise addition,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_3_WEAK,Matches acoustic/mechanical noise - requires DP context,Use only with IPC/CPC validation or differential privacy context
noise injection,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_3_WEAK,Matches fuel injection and acoustic noise,Use only with IPC/CPC validation or differential privacy context
privacy budget,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
epsilon differential privacy,alternative,differential privacy,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,126,TIER_1_STRONG,Very specific privacy technique,High-confidence use - strongest signal
encrypted data processing,primary,encrypted data processing,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Strong privacy signal,Use for encrypted computation analysis
aggregation with encryption,alternative,encrypted data processing,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Strong privacy signal,Use for encrypted computation analysis
federated learning,primary,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated machine learning,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis
federated training,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated analytics,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated data processing,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
federated transfer learning,alternative,federated learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_1_STRONG,Strong privacy signal (when privacy-focused),Use for federated learning analysis - check for privacy vs efficiency motivation
homomorphic encryption,primary,homomorphic encryption,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,30,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use - strongest signal
k-anonymity,primary,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Very specific privacy technique,High-confidence use
k anonymity,alternative,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Very specific privacy technique,High-confidence use
l-diversity,alternative,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Very specific privacy technique,High-confidence use
t-closeness,alternative,anonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,14,TIER_1_STRONG,Very specific privacy technique,High-confidence use
multi-party computation,primary,multi-party computation,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,6,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
multi party computation,alternative,multi-party computation,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,6,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
multiparty computing,alternative,multi-party computation,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,6,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
privacy by design,primary,privacy by design,general_concept,Emerging Privacy Enhancing Technologies.pdf,2,TIER_1_STRONG,Broad concept - some generic architecture,Use with caveats about precision
data protection by design,alternative,privacy by design,general_concept,Emerging Privacy Enhancing Technologies.pdf,2,TIER_1_STRONG,Broad concept - some generic architecture,Use with caveats about precision
data minimization,alternative,privacy by design,general_concept,Emerging Privacy Enhancing Technologies.pdf,2,TIER_3_WEAK,Loose SQL matching - requires privacy context validation,Use only with privacy context or IPC/CPC validation
data minimisation,alternative,privacy by design,general_concept,Emerging Privacy Enhancing Technologies.pdf,2,TIER_3_WEAK,Loose SQL matching - requires privacy context validation (UK spelling),Use only with privacy context or IPC/CPC validation
privacy enhancing techn,primary,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy-enhancing techn,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy enhancing,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy-enhancing,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy tech,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy tools,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy preserving,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy-preserving,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy preserving techn,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
privacy preserving techn,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
confidentiality-enhancing techn,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
confidentiality enhancing techn,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
confidentiality enhancing,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
confidentiality-enhancing,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
confidentiality-preserving techn,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
confidentiality preserving techn,alternative,privacy enhancing technologies,general_concept,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,75,TIER_1_STRONG,Many borderline cases (privacy-adjacent tech),Use for high-confidence privacy innovation analysis
confidential inference,alternative,privacy-preserving machine learning,general_concept,PETs and AI.pdf,4,TIER_1_STRONG,Strong privacy signal,Use for privacy-motivated ML/AI
privacy-preserving inference,alternative,privacy-preserving machine learning,general_concept,PETs and AI.pdf,4,TIER_1_STRONG,Strong privacy signal,Use for privacy-motivated ML/AI
privacy preserving inference,alternative,privacy-preserving machine learning,general_concept,PETs and AI.pdf,4,TIER_1_STRONG,Strong privacy signal,Use for privacy-motivated ML/AI
homomorphic inference,alternative,privacy-preserving machine learning,general_concept,PETs and AI.pdf,4,TIER_1_STRONG,Strong privacy signal,Use for privacy-motivated ML/AI
private inference,alternative,privacy-preserving machine learning,general_concept,PETs and AI.pdf,4,TIER_1_STRONG,Strong privacy signal,Use for privacy-motivated ML/AI
confidential inference,alternative,privacy-preserving machine learning,general_concept,PETs and AI.pdf,4,TIER_1_STRONG,Strong privacy signal,Use for privacy-motivated ML/AI
private set intersection,primary,private set intersection,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,3,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
secure set intersection,alternative,private set intersection,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,3,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
private matching,alternative,private set intersection,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,3,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
pseudonymisation,primary,pseudonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,3,TIER_1_STRONG,Strong privacy signal,Use for privacy de-identification
pseudonymization,alternative,pseudonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,3,TIER_1_STRONG,Strong privacy signal,Use for privacy de-identification
data pseudonymisation,alternative,pseudonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,3,TIER_1_STRONG,Strong privacy signal,Use for privacy de-identification
pseudonymised information,alternative,pseudonymisation,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,3,TIER_1_STRONG,Strong privacy signal,Use for privacy de-identification
secret sharing,primary,secret sharing,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf,6,TIER_1_STRONG,Specific cryptographic technique,High-confidence use
Shamir's secret sharing,alternative,secret sharing,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf,6,TIER_1_STRONG,Specific cryptographic technique,High-confidence use
threshold secret sharing,alternative,secret sharing,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf,6,TIER_1_STRONG,Specific cryptographic technique,High-confidence use
trusted execution environments,primary,trusted execution environments,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Hardware-based privacy,Use for TEE analysis
trusted execution environment,alternative,trusted execution environments,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Hardware-based privacy,Use for TEE analysis
secure enclave,alternative,trusted execution environments,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Hardware-based privacy,Use for TEE analysis
confidential computing,alternative,trusted execution environments,encrypted data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_1_STRONG,Hardware-based privacy,Use for TEE analysis
zero-knowledge proof,primary,zero-knowledge proofs,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,4,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
zero-knowledge,alternative,zero-knowledge proofs,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,4,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
zero knowledge,alternative,zero-knowledge proofs,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,4,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
zero knowledge proof,alternative,zero-knowledge proofs,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,4,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
zk-SNARKs,alternative,zero-knowledge proofs,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,4,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
zk-STARKs,alternative,zero-knowledge proofs,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,4,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
ZK proofs,alternative,zero-knowledge proofs,data obfuscation,Emerging Privacy Enhancing Technologies.pdf,4,TIER_1_STRONG,Very specific cryptographic technique,High-confidence use
data masking,primary,data masking,data obfuscation,PETs and AI.pdf,0,TIER_2_MEDIUM,Generic term,Context validation recommended
data obfuscation,primary,data obfuscation,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,2,TIER_2_MEDIUM,Generic term - needs privacy context,Context validation recommended
obfuscation tools,alternative,data obfuscation,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,2,TIER_2_MEDIUM,Generic term - needs privacy context,Context validation recommended
on-device learning,primary,on-device learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_2_MEDIUM,"CRITICAL: 96.4% are efficiency-motivated (latency/bandwidth), only 3.6% privacy-motivated",Context validation REQUIRED - distinguish efficiency (TIER_2_EFFICIENCY) from privacy (TIER_2_PRIVACY). Default assumption: efficiency unless explicit privacy/ML context
on-device machine learning,primary,on-device learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_2_MEDIUM,"CRITICAL: 96.4% are efficiency-motivated (latency/bandwidth), only 3.6% privacy-motivated",Context validation REQUIRED - distinguish efficiency (TIER_2_EFFICIENCY) from privacy (TIER_2_PRIVACY). Default assumption: efficiency unless explicit privacy/ML context
on-device training,alternative,on-device learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_2_MEDIUM,"CRITICAL: 96.4% are efficiency-motivated (latency/bandwidth), only 3.6% privacy-motivated",Context validation REQUIRED - distinguish efficiency (TIER_2_EFFICIENCY) from privacy (TIER_2_PRIVACY). Default assumption: efficiency unless explicit privacy/ML context
on-device processing,alternative,on-device learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_2_MEDIUM,"CRITICAL: 96.4% are efficiency-motivated (latency/bandwidth), only 3.6% privacy-motivated",Context validation REQUIRED - distinguish efficiency (TIER_2_EFFICIENCY) from privacy (TIER_2_PRIVACY). Default assumption: efficiency unless explicit privacy/ML context
on-device data processing,alternative,on-device learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_2_MEDIUM,"CRITICAL: 96.4% are efficiency-motivated (latency/bandwidth), only 3.6% privacy-motivated",Context validation REQUIRED - distinguish efficiency (TIER_2_EFFICIENCY) from privacy (TIER_2_PRIVACY). Default assumption: efficiency unless explicit privacy/ML context
on-device analy,alternative,on-device learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_2_MEDIUM,"CRITICAL: 96.4% are efficiency-motivated (latency/bandwidth), only 3.6% privacy-motivated",Context validation REQUIRED - distinguish efficiency (TIER_2_EFFICIENCY) from privacy (TIER_2_PRIVACY). Default assumption: efficiency unless explicit privacy/ML context
on-device data analy,alternative,on-device learning,distributed data processing,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,58,TIER_2_MEDIUM,"CRITICAL: 96.4% are efficiency-motivated (latency/bandwidth), only 3.6% privacy-motivated",Context validation REQUIRED - distinguish efficiency (TIER_2_EFFICIENCY) from privacy (TIER_2_PRIVACY). Default assumption: efficiency unless explicit privacy/ML context
synthetic data,primary,synthetic data,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,105,TIER_2_MEDIUM,Mixed privacy/ML training purposes,Context validation recommended - check motivation
synthetic dataset,alternative,synthetic data,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,105,TIER_2_MEDIUM,Mixed privacy/ML training purposes,Context validation recommended - check motivation
data synthesis,alternative,synthetic data,data obfuscation,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,105,TIER_2_MEDIUM,Mixed privacy/ML training purposes,Context validation recommended - check motivation
cell suppression,primary,cell suppression,data obfuscation,PETs and AI.pdf,0,TIER_3_WEAK,Requires IPC/CPC validation,Use only with classification codes
character masking,alternative,cell suppression,data obfuscation,PETs and AI.pdf,0,TIER_3_WEAK,Requires IPC/CPC validation,Use only with classification codes
column suppression,primary,column suppression,data obfuscation,PETs and AI.pdf,0,TIER_3_WEAK,Requires IPC/CPC validation,Use only with classification codes
attribute suppression,alternative,column suppression,data obfuscation,PETs and AI.pdf,0,TIER_3_WEAK,Requires IPC/CPC validation,Use only with classification codes
record suppression,alternative,column suppression,data obfuscation,PETs and AI.pdf,0,TIER_3_WEAK,Requires IPC/CPC validation,Use only with classification codes
row suppression,alternative,column suppression,data obfuscation,PETs and AI.pdf,0,TIER_3_WEAK,Requires IPC/CPC validation,Use only with classification codes
deidentification,primary,deidentification,data obfuscation,PETs and AI.pdf,0,TIER_1_STRONG,Compound word - privacy-specific de-identification,High-confidence use - privacy-specific term
de identification,alternative,deidentification,data obfuscation,PETs and AI.pdf,0,TIER_3_WEAK,Space-separated form - too noisy matches generic identification,Use only with IPC/CPC validation - high false positives
distributed data processing,primary,distributed data processing,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_3_WEAK,Requires IPC/CPC + privacy context,Use only with dual validation
distributed data analysis,alternative,distributed data processing,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_3_WEAK,Requires IPC/CPC + privacy context,Use only with dual validation
distributed analysis,alternative,distributed data processing,pet_category,Emerging Privacy Enhancing Technologies.pdf; PETs and AI.pdf,1,TIER_3_WEAK,Requires IPC/CPC + privacy context,Use only with dual validation
accountable systems,primary,accountable systems,pet_category,Emerging Privacy Enhancing Technologies.pdf,0,NOT_USED,Too generic - not used in PATSTAT,Not recommended for patent analysis
personal data store,alternative,personal data stores,accountable systems,Emerging Privacy Enhancing Technologies.pdf,0,NOT_USED,Rare in patents,Use with extreme caution
personal information management system,alternative,personal data stores,accountable systems,Emerging Privacy Enhancing Technologies.pdf,0,NOT_USED,Rare in patents,Use with extreme caution
data pods,alternative,personal data stores,accountable systems,Emerging Privacy Enhancing Technologies.pdf,0,NOT_USED,Rare in patents,Use with extreme caution
Solid pods,alternative,personal data stores,accountable systems,Emerging Privacy Enhancing Technologies.pdf,0,NOT_USED,Rare in patents,Use with extreme caution
